Object,Object Type,Object State,Protection Status,SLA Domain,Last Successful Backup,Latest Archival Snapshot,Latest Replication Snapshot,Cluster,Location
testvm,Azure VM,Active,NoSla,Unprotected,N/A,N/A,N/A,Rubrik Security Cloud,(Empty)
Azure_Fileset,Windows fileset,Active,Protected,Azure_Fileset_30D,05/26/2025 09:59:51PM,05/26/2025 09:59:51PM,N/A,azure_rubrik_1,testvm
test_sql,SQL Server DB,Active,Protected,Azure_SQL_30D,05/26/2025 09:59:51PM,05/06/2025 10:50:12PM,N/A,azure_rubrik_1,testvm\\MSSQLSERVER
a188eeacdb2e4eeda9ffdc2b93fbf8c3,Azure VM,Relic,NoSla,Unprotected,N/A,N/A,N/A,Rubrik Security Cloud,(Empty)
test,Windows volumes,Active,DoNotProtect,Do Not Protect,N/A,N/A,N/A,azure_rubrik_1,192.168.1.1
AZUREADC001,Active Directory Domain Controller,Active,Protected,Azure_AD_30D,05/26/2025 09:59:51PM,05/26/2025 09:59:51PM,N/A,azure_rubrik_1,test.test
testvm2,Azure VM,Active,NoSla,Unprotected,N/A,N/A,N/A,Rubrik Security Cloud,(Empty)
test_sql3,SQL Server DB,Active,Protected,Azure_SQL_30D,05/26/2025 09:59:51PM,05/06/2025 10:50:12PM,N/A,azure_rubrik_1,testvm2\\MSSQLSERVER
testvm3,Azure VM,Active,NoSla,Unprotected,N/A,N/A,N/A,Rubrik Security Cloud,(Empty)
testvm4,Azure VM,Active,Protected,Azure_VM_30D,N/A,N/A,N/A,Rubrik Security Cloud,(Empty)
